Scenario ID;ThreatID;VulnID
S68;M5;V4
S68;M5;V14
S68;M6;V4
S68;M6;V14
S68;M7;V4
S68;M7;V14
S68;M10;V4
S68;M11;V4
S68;M14;V14
S68;M17;V14
S68;M20;V14
S68;M21;V14
S68;M25;V14
S68;M26;V4
S68;M26;V14
S68;M28;V4
S68;M28;V14
S69;;
S70;M4;V4
S70;M5;V4
S70;M6;V4
S70;M7;V4
S70;M10;V4
S70;M11;V4
S70;M26;V4
S70;M28;V4
S71;;
S72;M4;V4
S72;M5;V4
S72;M6;V4
S72;M7;V4
S72;M10;V4
S72;M11;V4
S72;M26;V4
S72;M28;V4
S73;;
S74;M2;V29
S74;M2;V35
S75;;
S76;M12;V18
S76;M19;V37
S77;;
S78;M4;V23
S78;M5;V16
S78;M5;V23
S78;M6;V16
S78;M6;V23
S78;M7;V16
S78;M7;V23
S78;M9;V24
S78;M9;V15
S78;M10;V23
S78;M11;V23
S78;M12;V16
S78;M14;V16
S78;M14;V15
S78;M17;V16
S78;M20;V23
S78;M21;V16
S78;M21;V17
S78;M21;V15
S78;M21;V24
S78;M26;V23
S78;M26;V17
S78;M26;V15
S78;M27;V23
S78;M28;V16
S78;M28;V23
S79;;
S80;M15;V32
S80;M25;V32
S80;M25;V33
S81;;
S82;M13;V38
S82;M15;V32
S82;M25;V32
S82;M25;V33
S83;;
S84;M15;V32
S85;M26;V25
S85;;
S86;M1;V8
S86;M5;V8
S86;M5;V9
S86;M6;V8
S86;M6;V9
S86;M7;V8
S86;M7;V9
S86;M21;V8
S86;M27;V8
S86;M28;V8
S86;M28;V9
S87;;
S88;M9;V15
S88;M9;V24
S88;M21;V24
S89;;
S90;M14;V14
S90;M20;V14
S91;;
S92;M2;V29
S92;M3;V27
S92;M8;V34
S92;M13;V38
S92;M16;V26
S92;M16;V28
S92;M25;V32
S92;M25;V33
S93;;
S94;M15;V32
S94;M25;V32
S94;M25;V33
S95;;
S96;M5;V16
S96;M6;V16
S96;M7;V16
S96;M12;V16
S96;M12;V18
S96;M14;V16
S96;M14;V6
S96;M14;V10
S96;M17;V10
S96;M17;V16
S96;M21;V16
S96;M21;V25
S96;M26;V25
S96;M28;V16
S97;;
S98;M17;V14
S98;M26;V14
S99;;
S100;M3;V12
S100;M8;V12
S100;M13;V12
S100;M16;V12
S100;M25;V13
S101;;
S102;M1;V8
S102;M5;V9
S102;M5;V8
S102;M6;V9
S102;M6;V8
S102;M7;V9
S102;M7;V8
S102;M21;V8
S102;M27;V8
S102;M28;V9
S102;M28;V8
S103;;
S104;M1;V8
S104;M5;V9
S104;M5;V8
S104;M6;V9
S104;M6;V8
S104;M7;V9
S104;M7;V8
S104;M21;V8
S104;M27;V8
S104;M28;V9
S104;M28;V8
S105;;
S106;M1;V8
S106;M5;V9
S106;M5;V8
S106;M6;V9
S106;M6;V8
S106;M7;V9
S106;M7;V8
S106;M21;V8
S106;M27;V8
S106;M28;V9
S106;M28;V8
S107;;
S108;M26;V25
S109;;
S110;M4;V3
S110;M4;V7
S110;M4;V23
S110;M5;V3
S110;M5;V7
S110;M5;V14
S110;M5;V23
S110;M6;V3
S110;M6;V7
S110;M6;V14
S110;M6;V23
S110;M7;V3
S110;M7;V7
S110;M7;V14
S110;M7;V23
S110;M10;V3
S110;M10;V7
S110;M10;V23
S110;M11;V3
S110;M11;V7
S110;M11;V23
S110;M12;V18
S110;M14;V14
S110;M17;V14
S110;M20;V7
S110;M20;V14
S110;M20;V23
S110;M21;V14
S110;M22;V2
S110;M22;V3
S110;M22;V7
S110;M23;V2
S110;M23;V3
S110;M23;V7
S110;M25;V14
S110;M26;V7
S110;M26;V14
S110;M26;V23
S110;M26;V25
S110;M27;V2
S110;M27;V3
S110;M27;V7
S110;M27;V23
S111;;
S112;M26;v14
S112;M26;v25
S113;;
S114;M26;V25
S115;;
S116;M26;v14
S116;M26;v25
S117;;
S118;M3;V12
S118;M8;V12
S118;M12;V18
S118;M13;V12
S118;M16;V12
S118;M25;V13
S119;;
S120;M3;V12
S120;M8;V12
S120;M13;V12
S120;M16;V12
S120;M25;V13
S121;;
S122;M15;V32
S122;M25;V32
S122;M25;V33
S123;M15;V32
S123;M25;V32
S123;M25;V33
S124;M15;V32
S124;M25;V32
S124;M25;V33
S125;M16;V26
S125;M16;V28
S126;M15;V32
S126;M25;V32
S126;M25;V33
S127;M1;V19
S127;M1;V22
S127;M4;V3
S127;M4;V7
S127;M4;V23
S127;M5;V3
S127;M5;V7
S127;M5;V23
S127;M6;V3
S127;M6;V7
S127;M6;V23
S127;M7;V3
S127;M7;V7
S127;M7;V23
S127;M10;V3
S127;M10;V7
S127;M10;V23
S127;M11;V3
S127;M11;V7
S127;M11;V23
S127;M19;V19
S127;M20;V7
S127;M20;V23
S127;M22;V2
S127;M22;V3
S127;M22;V7
S127;M23;V2
S127;M23;V3
S127;M23;V7
S127;M26;V7
S127;M26;V23
S127;M27;V2
S127;M27;V3
S127;M27;V7
S127;M27;V23
S127;M28;V3
S127;M28;V7
S127;M28;V23
S128;M26;V14
S128;M26;V25
S129;M3;V12
S129;M8;V12
S129;M13;V12
S129;M16;V12
S129;M25;V13
S130;M15;V32
S130;M25;V32
S130;M25;V33
S131;M4;V3
S131;M4;V7
S131;M4;V23
S131;M5;V3
S131;M5;V7
S131;M5;V14
S131;M5;V23
S131;M6;V3
S131;M6;V7
S131;M6;V14
S131;M6;V23
S131;M7;V3
S131;M7;V7
S131;M7;V14
S131;M7;V23
S131;M10;V3
S131;M10;V7
S131;M10;V23
S131;M11;V3
S131;M11;V7
S131;M11;V23
S131;M12;V18
S131;M14;V14
S131;M17;V14
S131;M20;V7
S131;M20;V14
S131;M20;V23
S131;M21;V14
S131;M22;V2
S131;M22;V3
S131;M22;V7
S131;M23;V2
S131;M23;V3
S131;M23;V7
S131;M25;V14
S131;M26;V7
S131;M26;V14
S131;M26;V23
S131;M26;V25
S131;M27;V2
S131;M27;V3
S131;M27;V7
S131;M27;V23
S132;M17;V14
S132;M26;V14
S133;;
S134;M5;V14
S134;M6;V14
S134;M7;V14
S134;M14;V14
S134;M17;V14
S134;M20;V14
S134;M21;V14
S134;M21;V25
S134;M25;V14
S134;M26;V25
S134;M26;V14
S134;M28;V14
S135;;
S136;M17;V14
S136;M26;V14
S137;;
S138;M1;V8
S138;M5;V9
S138;M5;V8
S138;M6;V9
S138;M6;V8
S138;M7;V9
S138;M7;V8
S138;M21;V8
S138;M27;V8
S138;M28;V9
S138;M28;V8
S139;;
S140;M15;V32
S140;M25;V32
S140;M25;V33
S141;;
S142;;
S143;M2;V35
S143;M3;V27
S143;M5;V14
S143;M6;V14
S143;M7;V14
S143;M8;V34
S143;M9;V24
S143;M12;V31
S143;M12;V18
S143;M13;V38
S143;M14;V14
S143;M15;V31
S143;M15;V32
S143;M16;V26
S143;M16;V28
S143;M17;V14
S143;M20;V14
S143;M21;V14
S143;M21;V24
S143;M21;V25
S143;M25;V32
S143;M25;V33
S143;M25;V14
S143;M26;V25
S143;M26;V14
S143;M28;V14
S144;;
S145;;
S146;;
S147;;
S148;;
S149;;
S150;;
S151;;
S152;;
S153;M15;V31
S153;M26;V4
S153;M26;V14
S153;M26;V25
S154;M15;V32
S154;M25;V32
S154;M25;V33
S155;;
S156;M5;V14
S156;M5;V16
S156;M6;V14
S156;M6;V16
S156;M7;V14
S156;M7;V16
S156;M9;V15
S156;M12;V16
S156;M14;V16
S156;M14;V14
S156;M14;V15
S156;M17;V14
S156;M17;V16
S156;M20;V14
S156;M21;V14
S156;M21;V16
S156;M21;V15
S156;M21;V25
S156;M25;V14
S156;M26;V25
S156;M26;V14
S156;M26;V15
S156;M28;V14
S156;M28;V16
S157;;
S158;M4;V3
S158;M4;V7
S158;M4;V23
S158;M5;V3
S158;M5;V7
S158;M5;V14
S158;M5;V23
S158;M6;V3
S158;M6;V7
S158;M6;V14
S158;M6;V23
S158;M7;V3
S158;M7;V7
S158;M7;V14
S158;M7;V23
S158;M10;V3
S158;M10;V7
S158;M10;V23
S158;M11;V3
S158;M11;V7
S158;M11;V23
S158;M12;V18
S158;M14;V14
S158;M17;V14
S158;M20;V7
S158;M20;V14
S158;M20;V23
S158;M21;V14
S158;M22;V2
S158;M22;V3
S158;M22;V7
S158;M23;V2
S158;M23;V3
S158;M23;V7
S158;M25;V14
S158;M26;V7
S158;M26;V14
S158;M26;V23
S158;M26;V25
S158;M27;V2
S158;M27;V3
S158;M27;V7
S158;M27;V23
S159;;
S160;M5;V14
S160;M6;V14
S160;M7;V14
S160;M14;V14
S160;M17;V14
S160;M20;V14
S160;M21;V14
S160;M21;V25
S160;M25;V14
S160;M26;V25
S160;M26;V14
S160;M28;V14
S161;;
S162;M1;V8
S162;M5;V9
S162;M5;V8
S162;M6;V9
S162;M6;V8
S162;M7;V9
S162;M7;V8
S162;M21;V8
S162;M27;V8
S162;M28;V9
S162;M28;V8
S163;;
S164;M1;V8
S164;M4;V21
S164;M5;V9
S164;M5;V8
S164;M6;V9
S164;M6;V8
S164;M7;V9
S164;M7;V8
S164;M21;V8
S164;M26;V21
S164;M27;V8
S164;M28;V9
S164;M28;V8
S165;;
S166;M21;V17
S166;M21;V25
S166;M26;V17
S166;M26;V25
S167;;
S168;M1;V8
S168;M1;V19
S168;M1;V22
S168;M4;V3
S168;M4;V4
S168;M4;V7
S168;M4;V23
S168;M4;V21
S168;M5;V3
S168;M5;V4
S168;M5;V7
S168;M5;V8
S168;M5;V9
S168;M5;V14
S168;M5;V23
S168;M6;V3
S168;M6;V4
S168;M6;V7
S168;M6;V8
S168;M6;V9
S168;M6;V14
S168;M6;V23
S168;M7;V3
S168;M7;V4
S168;M7;V7
S168;M7;V8
S168;M7;V9
S168;M7;V14
S168;M7;V23
S168;M10;V3
S168;M10;V4
S168;M10;V7
S168;M10;V20
S168;M10;V23
S168;M10;V36
S168;M11;V3
S168;M11;V4
S168;M11;V7
S168;M11;V20
S168;M11;V23
S168;M11;V36
S168;M14;V6
S168;M14;V10
S168;M14;V11
S168;M14;V14
S168;M17;V10
S168;M17;V14
S168;M20;V7
S168;M20;V14
S168;M20;V23
S168;M21;V8
S168;M21;V14
S168;M21;V25
S168;M22;V2
S168;M22;V3
S168;M22;V5
S168;M22;V7
S168;M23;V2
S168;M23;V3
S168;M23;V5
S168;M23;V7
S168;M25;V14
S168;M26;V4
S168;M26;V7
S168;M26;V14
S168;M26;V21
S168;M26;V23
S168;M26;V25
S168;M27;V2
S168;M27;V3
S168;M27;V5
S168;M27;V7
S168;M27;V8
S168;M27;V23
S168;M28;V3
S168;M28;V4
S168;M28;V7
S168;M28;V8
S168;M28;V9
S168;M28;V14
S168;M28;V23
S169;;
S170;M1;V8
S170;M5;V9
S170;M5;V8
S170;M6;V9
S170;M6;V8
S170;M7;V9
S170;M7;V8
S170;M21;V8
S170;M27;V8
S170;M28;V9
S170;M28;V8
S171;M1;V8
S171;M5;V9
S171;M5;V8
S171;M6;V9
S171;M6;V8
S171;M7;V9
S171;M7;V8
S171;M21;V8
S171;M27;V8
S171;M28;V9
S171;M28;V8
S172;M5;V14
S172;M6;V14
S172;M7;V14
S172;M14;V14
S172;M17;V14
S172;M20;V14
S172;M21;V14
S172;M21;V25
S172;M25;V14
S172;M26;V25
S172;M26;V14
S172;M28;V14
S173;;
S174;M26;V25
S175;;
S176;M3;V12
S176;M8;V12
S176;M12;V18
S176;M13;V12
S176;M16;V12
S176;M25;V13
S177;;
S178;M18;V1
S178;M19;V1
S178;M19;V30
S178;M24;V1
S179;M14;V6
S179;M14;V11
S179;M18;V1
S179;M19;V1
S179;M22;V5
S179;M23;V5
S179;M24;V1
S179;M27;V5
S180;M14;V6
S180;M14;V11
S180;M22;V5
S180;M23;V5
S180;M27;V5
S181;;
S182;;
S183;M4;V4
S183;M5;V4
S183;M6;V4
S183;M7;V4
S183;M10;V4
S183;M11;V4
S183;M26;V4
S183;M28;V4
S184;;
S185;M15;V32
S185;M25;V32
S185;M25;V33
S186;;
S187;M18;V1
S187;M19;V1
S187;M19;V30
S187;M24;V1
S188;;
S189;M18;V1
S189;M19;V1
S189;M24;V1
S190;;
S191;M15;V32
S191;M25;V32
S191;M25;V33
S192;;
S193;M1;V8
S193;M5;V9
S193;M5;V8
S193;M6;V9
S193;M6;V8
S193;M7;V9
S193;M7;V8
S193;M21;V8
S193;M27;V8
S193;M28;V9
S193;M28;V8
